Item1,Item2.X,Item2.Y
48676401.5104,99.76502,780.7566
48676431.0272,99.51923,780.6252
48676476.8768,99.63749,780.4964
48676511.6544,99.61948,780.363
48676541.312,99.61948,780.363
48676559.6032,99.97846,783.2856
48676592.768,99.39431,779.3652
48676638.2976,99.52525,781.0361
48676669.2864,99.43245,780.2921
48676717.9648,99.57743,780.3673
48676749.8624,99.57743,780.3673
48676768.6272,99.57136,779.8332
48676799.1552,99.66475,780.5823
48676829.9008,99.97118,779.6112
48676877.8624,99.74335,780.5254
48676910.3104,99.56497,779.437
48676941.248,99.56497,779.437
48676959.3088,99.82628,780.3576
48676990.3744,99.87255,780.1233
48677037.6192,99.75313,779.7535
48677070.2976,99.99556,780.7167
48677118.2208,99.4505,780.7895
48677149.2864,99.4505,780.7895
48677168.2816,99.68129,780.3512
48677197.3632,99.86828,780.6549
48677229.44,99.75062,780.0297
48677278.6432,99.3982,779.3745
48677310.016,100.005,779.8463
48677341.1328,100.005,779.8463
48677363.9552,99.65157,780.2096
48677389.8368,99.60255,780.3676
48677438.7072,99.87527,780.2364
48677469.888,99.68169,779.9669
48677518.2848,99.67806,779.7398
48677549.4528,99.67806,779.7398
48677569.2928,99.58997,780.3547
48677598.3744,99.74878,781.0625
48677630.7072,99.61253,780.3146
48677679.3216,99.56767,779.9937
48677710.3104,99.59641,779.9993
48677741.5168,99.59641,779.9993
48677762.112,99.40999,778.5335
48677791.3088,99.99896,777.8511
48677837.4656,99.65202,778.1786
48677869.4272,99.70912,777.5321
48677918.3872,99.73398,777.1457
48677949.824,99.73398,777.1457
48677967.0528,99.90488,777.8013
48677998.5664,99.87106,777.4673
48678030.1568,100.0401,777.5126
48678078.4256,99.75584,777.6366
48678109.5936,99.95535,777.1432
48678142.4896,99.95535,777.1432
48678159.9488,100.0456,778.0106
48678190.7968,99.58522,778.51
48678237.4784,99.87112,778.593
48678269.3376,99.90732,779.8462
48678318.4384,99.61388,779.0333
48678351.168,99.61388,779.0333
48678367.744,99.95908,782.2953
48678399.0272,99.87878,779.0896
48678429.7216,99.59261,779.0549
48678478.0288,99.5108,780.5079
48678511.0656,99.93143,778.9556
48678541.7728,99.93143,778.9556
48678560.1536,99.26424,779.4531
48678589.7984,99.33672,779.6284
48678637.952,99.4776,778.8751
48678671.2192,99.67041,779.511
48678718.016,99.50266,779.8514
48678749.1328,99.50266,779.8514
48678766.9504,99.32008,779.6309
48678799.4752,99.25179,779.2386
48678831.3344,98.95488,778.921
48678878.72,99.34386,779.9248
48678911.5648,99.38466,779.4679
48678942.8992,99.38466,779.4679
48678959.1808,99.37854,779.3019
48678990.9504,99.22634,779.4415
48679037.5936,99.75993,779.5722
48679070.784,99.8357,779.209
48679118.1952,99.88821,779.1878
48679150.8224,99.88821,779.1878
48679167.8976,99.70319,779.3542
48679198.2208,99.743,778.3522
48679229.4272,100.0052,778.4372
48679279.04,99.98438,778.9537
48679309.7216,100.1072,779.0703
48679342.8224,100.1072,779.0703
48679359.5136,99.74871,779.0721
48679390.3104,99.27798,779.6323
48679437.7344,99.45341,779.2677
48679469.4272,99.19936,778.9268
48679517.3248,99.5093,779.0942
48679551.1808,99.5093,779.0942
48679568.96,99.25898,778.8831
48679599.0784,99.28127,778.7158
48679632.4864,99.44251,778.7601
48679679.5008,99.29485,778.3423
48679710.8992,99.77544,778.59
48679742.9376,99.77544,778.59
48679762.9184,99.51562,778.3523
48679790.336,99.38245,778.4633
48679837.6448,99.89182,778.3983
48679870.528,99.76996,778.9533
48679918.016,99.78851,778.6443
48679950.08,99.78851,778.6443
48679968.7168,99.69501,778.9338
48679998.4256,99.26013,779.7969
48680030.0544,99.02232,779.0639
48680078.784,99.10078,780.2684
48680110.8224,99.35433,779.6482
48680141.6448,99.35433,779.6482
48680162.4064,99.12166,779.9141
48680191.0528,99.1833,779.2366
48680238.3872,99.27309,780.0219
48680270.1184,99.15843,780.3901
48680318.6688,99.60702,779.6397
48680350.4128,99.60702,779.6397
48680369.8048,99.44053,779.0044
48680398.8736,99.51488,779.2635
48680429.632,99.49813,778.4708
48680478.6176,99.53795,779.4276
48680510.2336,99.63399,779.0557
48680543.8848,99.63399,779.0557
48680560.5504,99.6372,778.6927
48680591.7952,99.66071,778.5859
48680638.6816,100.1797,778.1922
48680670.2464,100.2454,778.0524
48680718.72,100.0161,779.348
48680750.5664,100.0161,779.348
48680766.7072,99.86394,778.909
48680797.7984,99.86881,779.8149
48680829.5424,99.82197,779.4387
48680879.3472,99.7018,779.344
48680911.168,99.83633,780.9315
48680942.1696,99.83633,780.9315
48680961.28,99.87918,781.3239
48680989.6704,99.46581,780.67
48681041.2288,99.72545,780.0825
48681070.4896,99.93746,780.8681
48681118.3616,99.91553,780.7953
48681151.4112,99.91553,780.7953
48681169.7792,99.65835,780.579
48681200.32,99.50223,780.6839
48681231.3088,99.68381,780.2958
48681278.7584,99.57315,780.7338
48681310.6816,99.31215,780.4256
48681342.0288,99.31215,780.4256
48681358.7328,99.26168,780.4893
48681390.784,99.32044,780.9538
48681437.5936,99.5876,780.3963
48681470.144,99.42529,780.7387
48681518.2976,99.4936,779.9472
48681551.0784,99.4936,779.9472
48681569.984,99.34988,781.0712
48681598.9376,99.37173,779.6851
48681631.4624,99.76006,779.6144
48681680.0768,99.2726,780.148
48681710.9888,99.08379,780.0461
48681743.6544,99.08379,780.0461
48681760.384,99.20017,780.4589
48681790.9632,99.62924,780.1472
48681838.1952,99.43423,780.5104
48681869.9904,99.59473,780.4035
48681917.6448,99.35424,779.4824
48681951.2064,99.35424,779.4824
48681968.448,99.41294,779.2678
48681998.4768,99.99985,778.6633
48682029.3632,99.67495,778.652
48682078.8736,100.2483,778.2368
48682109.9648,99.41361,778.9916
48682143.5648,99.41361,778.9916
48682165.056,99.90004,778.4028
48682191.616,100.1118,777.7071
48682238.5536,99.76224,778.501
48682270.6688,99.70377,778.2798
48682318.016,99.60364,777.566
48682349.952,99.60364,777.566
48682367.8208,99.59841,778.2679
48682399.1936,99.03728,777.8569
48682430.2848,99.38275,778.7162
48682478.0288,99.43829,778.8054
48682515.4688,99.2292,778.7733
48682542.6944,99.2292,778.7733
48682559.7312,99.91134,779.0452
48682592.1408,100.4632,777.8075
48682638.8096,99.82183,779.8915
48682670.8736,99.66911,779.3911
