FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1,G2,G3,G4,G5,G6,G7,R8,R9,R10,R11,R12,R13,R14,R15
11,975.754528,1,30753868.4819,0.0224838886603592,0.024161400097229,0.0186661506707946,0.0136274509803922,0.0107518742791234,0.0110708898944193,0.020928323482503,0.0196678671468587,0.0747471386744743,0.0595059592464437,0.0335390100095982,0.0281173406862745,0.0425891265597148,0.0627450980392157,0.0760803663570691,0.0578806228373702
12,975.75952,4,30753873.4917,0.173810503222268,0.21678820288446,0.208352683178535,0.159313725490196,0.0521896626297578,0.0217326546003017,0.0534548269068393,0.166491596638655,0.0716240794960518,0.0591551326412918,0.0383107088989442,0.0300245098039216,0.041301247771836,0.0588612368024133,0.0709333075335397,0.0619665513264129
13,975.764512,2,30753877.9948,0.0161833264774441,0.0179225409171933,0.013515866873065,0.00968487394957983,0.0077025663206459,0.00789592760180995,0.015235950839666,0.0142857142857143,0.0479172211871174,0.0378075740099962,0.0214109419991773,0.0182368259803922,0.0270409982174688,0.0399132730015083,0.0481520897832817,0.0391061130334487
14,975.769536,1,30753882.99,0.0259769642122583,0.0281579160589856,0.0216911764705882,0.0157796451914099,0.0124026816608997,0.0127696078431373,0.0242072427056947,0.0228791516606643,0.0869377162629758,0.0692137639369473,0.0391059920471685,0.0327129289215686,0.0497638146167558,0.0730392156862745,0.0884965170278638,0.067257785467128
15,975.774528,4,30753888.9782,0.166831208007679,0.209295495057527,0.202760577915377,0.155266106442577,0.0490394319492503,0.0186613876319759,0.0474223660756168,0.160804321728691,0.0488465974625144,0.0414792387543253,0.0283148224324695,0.0216605392156863,0.028270944741533,0.039957264957265,0.0478844169246646,0.0447664359861592
16,975.77952,2,30753892.9591,0.0237899355546414,0.0261971317452601,0.019765866873065,0.0141083099906629,0.01103842272203,0.011355580693816,0.0220470963505019,0.0208983593437375,0.0739641557980658,0.0584919261822376,0.0330453859865625,0.0276960784313725,0.0421256684491979,0.061639014580191,0.0743969298245614,0.0591147635524798
17,975.784512,1,30753897.9456,0.0205573837926779,0.022123642845568,0.0170988132094943,0.0125443510737628,0.010040008650519,0.0102714932126697,0.019159864902899,0.0180022008803521,0.0683723715730636,0.0546232218377547,0.0308103661044838,0.0257123161764706,0.0390374331550802,0.0575540472599296,0.069672342621259,0.0530795847750865
18,975.789536,4,30753903.0091,0.167568216097628,0.209866715281154,0.203154024767802,0.155578898225957,0.0494683535178777,0.0190384615384615,0.0482033961910123,0.161259503801521,0.0520495075858398,0.0439638600538255,0.0296791443850267,0.0228707107843137,0.0301069518716578,0.0428733031674208,0.0512835397316821,0.0471799307958478
19,975.794528,2,30753903.0091,0.0275778143425202,0.0302787230594717,0.0226425438596491,0.0161507936507937,0.012620746828143,0.0130109351432881,0.0252884886011821,0.0239795918367347,0.0863432703398101,0.0682141484044598,0.0384958179075826,0.032406556372549,0.0490953654188948,0.0722662141779789,0.0869162796697626,0.0685957324106113
20,975.79952,1,30753903.0091,0.0140511449334979,0.0150826446280992,0.011780830753354,0.0084733893557423,0.00721056805074971,0.00726809954751131,0.0130875316633831,0.0121598639455782,0.0455571821488777,0.0365051903114187,0.0207184971890854,0.0173406862745098,0.0256907308377897,0.0382164404223228,0.0466847265221878,0.0357670126874279
21,975.804512,4,30753918.6365,0.17482174688057,0.218165613352779,0.209268575851393,0.159911297852474,0.0528258362168397,0.0225226244343891,0.0552373581011352,0.168007202881152,0.0783825747493567,0.064677047289504,0.0412793089263677,0.0324984681372549,0.0452005347593583,0.0646870286576169,0.077734778121775,0.0673471741637831
22,975.809536,2,30753923.2461,0.022069107363225,0.0242890131259115,0.0180534055727554,0.013046218487395,0.0102238321799308,0.0105863499245852,0.0203067830002815,0.0192376950780312,0.067715819359418,0.0535995770857362,0.0302207596325243,0.0253446691176471,0.0384893048128342,0.0566113624937154,0.06812435500516,0.0543367935409458
23,975.814528,1,30753928.2651,0.0149047031399973,0.0158159131421164,0.0122903766769866,0.00885387488328665,0.00740700692041522,0.00759238310708899,0.0140350877192982,0.0129401760704282,0.0482920770118002,0.0387206843521722,0.0218085835732895,0.0182215073529412,0.0272994652406417,0.0404097536450478,0.0493808049535604,0.0377479815455594
24,975.81952,4,30753933.2549,0.178667900726724,0.221937287311619,0.212248452012384,0.162044817927171,0.054395544982699,0.024106334841629,0.0585420771179285,0.170853341336535,0.0909568804897525,0.0747933487120338,0.0466748937337173,0.037109375,0.0523440285204991,0.0755718954248366,0.0905056759545924,0.0767589388696655
25,975.824512,2,30753938.2071,0.0153263403263403,0.0169360719494409,0.012703173374613,0.00911297852474323,0.00736195213379469,0.00746417797888386,0.0144408481095788,0.0134553821528611,0.0447209653092006,0.0355055747789312,0.020128890717126,0.0169806985294118,0.0252139037433155,0.0372423328305681,0.0447981166150671,0.0369204152249135
26,975.829536,1,30753946.8258,0.0224050459344577,0.0239669421487603,0.0185274767801858,0.0134873949579832,0.0106869953863899,0.011012443438914,0.0207289614410357,0.0196428571428571,0.0743878094224115,0.0591935793925413,0.0334156040038393,0.0278645833333333,0.0422549019607843,0.0623428858722976,0.0754611713106295,0.057580738177624
27,975.834528,4,30753947.8233,0.17309749074455,0.216087344028521,0.207456140350877,0.158641456582633,0.051986014994233,0.0216760935143288,0.0534946993151328,0.165991396558623,0.0725090941353917,0.0599817377931565,0.0385712326888797,0.0301393995098039,0.0418003565062389,0.0599924585218703,0.0718072755417957,0.062782583621684
28,975.83952,2,30753952.9995,0.0159879336349925,0.0178921568627451,0.0133384932920537,0.00951213818860878,0.0075998414071511,0.00784502262443439,0.0151327516652594,0.0140806322529012,0.0474758229083489,0.0374567474048443,0.0214040861099685,0.0179227941176471,0.026969696969697,0.0393288084464555,0.0476489938080495,0.0387889273356401
29,975.844512,1,30753952.9995,0.0261860688331277,0.028218684167882,0.0216976264189886,0.0155905695611578,0.0122963523644752,0.012711161387632,0.0241603339900554,0.0228741496598639,0.0871107266435986,0.0691993464052287,0.0390305772658714,0.0324831495098039,0.0494652406417112,0.0732088989441931,0.0884803921568627,0.0673673587081892
30,975.849536,4,30753952.9995,0.165895379130673,0.208173310646573,0.201299664602683,0.154355742296919,0.0490682670126874,0.0186463046757164,0.047260531006661,0.159793917567027,0.0492857776594801,0.0417964244521338,0.0283902372137666,0.0216911764705882,0.028596256684492,0.0404600301659125,0.0483068885448916,0.0450086505190311
