FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G,Region1R
255,385.144352,2,0,0,0,0,0,0.004803108247648,0.0118161598303216
256,385.16096,1,0,0,0,0,0,0.00529138746826436,0.013419608441439
257,385.177632,2,0,0,0,0,0,0.00481772652780734,0.011788039649455
258,385.194336,1,0,0,0,0,0,0.00530672233078445,0.0134350147107436
259,385.210944,2,0,0,0,0,0,0.00482173938902755,0.0117992578067156
260,385.227616,1,0,0,0,0,0,0.00531145177436541,0.013397471277778
261,385.244352,2,0,0,0,0,0,0.00481027407125552,0.0117986595049951
262,385.26096,1,0,0,0,0,0,0.00530901539433886,0.0134127279716525
263,385.277632,2,0,0,0,0,0,0.0048224559713883,0.0118031467678993
264,385.294336,1,0,0,0,0,0,0.00529310726593016,0.0134131766979429
265,385.310944,2,0,0,0,0,0,0.00481185055244917,0.0117889371020359
266,385.327616,1,0,0,0,0,0,0.00528422164465684,0.0134176639608471
267,385.344352,2,0,0,0,0,0,0.00479321941106962,0.0117792146990767
268,385.36096,1,0,0,0,0,0,0.00529683349420607,0.0134237965534829
269,385.3776,2,0,0,0,0,0,0.00480984412183907,0.0117786163973561
270,385.394336,1,0,0,0,0,0,0.00528551149290619,0.0134118305190716
271,385.410944,2,0,0,0,0,0,0.00478318725801909,0.0118026980416089
272,385.427616,1,0,0,0,0,0,0.0053239203074425,0.0134076424070277
273,385.444352,2,0,0,0,0,0,0.00480167508292649,0.0117872917723043
274,385.460928,1,0,0,0,0,0,0.00532950964985636,0.0134342668335928
275,385.4776,2,0,0,0,0,0,0.00479981196878854,0.0117944713929511
276,385.494336,1,0,0,0,0,0,0.00529683349420607,0.013415420329395
277,385.510944,2,0,0,0,0,0,0.00479909538642779,0.0118062878519323
278,385.527616,1,0,0,0,0,0,0.00529282063298586,0.0133896933554107
279,385.544288,2,0,0,0,0,0,0.00479422262637467,0.0118067365782227
280,385.560928,1,0,0,0,0,0,0.00528995430354285,0.0133870009976681
281,385.5776,2,0,0,0,0,0,0.00479923870289994,0.0118236386018287
282,385.594272,1,0,0,0,0,0,0.00531489136969702,0.0134477286223056
283,385.610944,2,0,0,0,0,0,0.00481041738772767,0.0118121212937078
284,385.627616,1,0,0,0,0,0,0.00529353721534661,0.013387898450249
285,385.644288,2,0,0,0,0,0,0.00481786984427949,0.0117796634253671
286,385.660928,1,0,0,0,0,0,0.00531231167319831,0.0134121296699319
287,385.6776,2,0,0,0,0,0,0.0047872001192393,0.0117874413477345
288,385.694272,1,0,0,0,0,0,0.00530786886256165,0.0134033047195535
289,385.710944,2,0,0,0,0,0,0.00481400029953143,0.0117389789083686
290,385.727584,1,0,0,0,0,0,0.00530500253311865,0.0134145228768142
291,385.744256,2,0,0,0,0,0,0.00478777338512791,0.0118034459187596
292,385.760928,1,0,0,0,0,0,0.00529611691184532,0.0133904412325614
293,385.7776,2,0,0,0,0,0,0.00481285376775422,0.0118109246902667
294,385.794272,1,0,0,0,0,0,0.00528293179640749,0.0134318736267106
295,385.810944,2,0,0,0,0,0,0.00478949318279371,0.0117819070568192
296,385.827584,1,0,0,0,0,0,0.00530299610250854,0.0133841590644954
297,385.844256,2,0,0,0,0,0,0.00481486019836433,0.011779513849937
298,385.860928,1,0,0,0,0,0,0.00529368053181876,0.0133980695794986
299,385.8776,2,0,0,0,0,0,0.00482876189616292,0.011811223841127
300,385.894272,1,0,0,0,0,0,0.00528852113882135,0.0134155699048252
301,385.910944,2,0,0,0,0,0,0.00480196171587079,0.0117889371020359
302,385.927584,1,0,0,0,0,0,0.0052866580246834,0.0134116809436415
303,385.944256,2,0,0,0,0,0,0.00479837880406704,0.011791180733488
304,385.960928,1,0,0,0,0,0,0.00529798002598328,0.0133902916571312
305,385.9776,2,0,0,0,0,0,0.00483005174441227,0.0118098776622557
306,385.994272,1,0,0,0,0,0,0.00531317157203122,0.013401659389822
307,386.010912,2,0,0,0,0,0,0.00479135629693167,0.0117823557831096
308,386.027584,1,0,0,0,0,0,0.00528264516346318,0.0133886463273997
309,386.044256,2,0,0,0,0,0,0.00479694563934553,0.0117992578067156
310,386.060928,1,0,0,0,0,0,0.00529425379770737,0.0134065953790167
311,386.0776,2,0,0,0,0,0,0.00479020976515446,0.0118095785113954
312,386.09424,1,0,0,0,0,0,0.00530385600134144,0.0134065953790167
313,386.110912,2,0,0,0,0,0,0.00478977981573801,0.0117875909231646
314,386.127584,1,0,0,0,0,0,0.00526086105969633,0.0133892446291202
315,386.144256,2,0,0,0,0,0,0.004803108247648,0.0117738299835916
316,386.160928,1,0,0,0,0,0,0.00526315412325073,0.0133895437799805
317,386.1776,2,0,0,0,0,0,0.00478218404271404,0.0117433165958427
318,386.19424,1,0,0,0,0,0,0.00529568696242887,0.013363667230566
319,386.210912,2,0,0,0,0,0,0.00481815647722379,0.0118104759639763
320,386.227584,1,0,0,0,0,0,0.00528465159407329,0.0134136254242333
321,386.244256,2,0,0,0,0,0,0.00479723227228983,0.0117832532356905
322,386.260928,1,0,0,0,0,0,0.00526530387033299,0.0133825137347639
323,386.277568,2,0,0,0,0,0,0.00479493920873543,0.0117893858283263
324,386.29424,1,0,0,0,0,0,0.00528336174582394,0.0133931335903039
325,386.310912,2,0,0,0,0,0,0.00477272515555212,0.0117904328563373
326,386.327584,1,0,0,0,0,0,0.00528422164465684,0.0134139245750936
327,386.344256,2,0,0,0,0,0,0.00477702464971663,0.0117475047078867
328,386.360896,1,0,0,0,0,0,0.00527877561871512,0.0134059970772961
329,386.377568,2,0,0,0,0,0,0.00479121298045952,0.0117757744641834
330,386.39424,1,0,0,0,0,0,0.00531130845789326,0.0133959755234766
331,386.410912,2,0,0,0,0,0,0.00479637237345693,0.0117673982400955
332,386.427584,1,0,0,0,0,0,0.00529497038006812,0.0133929840148738
333,386.444256,2,0,0,0,0,0,0.00478505037215705,0.01177218465386
334,386.460896,1,0,0,0,0,0,0.0052687434656646,0.0133692015214813
335,386.477568,2,0,0,0,0,0,0.00478734343571146,0.0117539364513828
336,386.49424,1,0,0,0,0,0,0.00530213620367564,0.01338894547826
337,386.510912,2,0,0,0,0,0,0.00478906323337726,0.0117506457919196
338,386.527584,1,0,0,0,0,0,0.00527289964335696,0.0133850565170763
339,386.544224,2,0,0,0,0,0,0.00477272515555212,0.0117497483393388
340,386.560896,1,0,0,0,0,0,0.00524294650067753,0.0133742870861061
341,386.577568,2,0,0,0,0,0,0.00478877660043296,0.011769043569827
